question,tag,correction
Can I extract SAO structures with stanza?,other,
How to Cast a column in dataset to String,data,
How can I iterate over a dataset multiple times with iter_torch_batches()?,data,
How can I get the error traceback message for a failed task?,ray-core,
Does ray support Tree Parzen Estimator,ray-core,other
save log to file,tune,ray-observability
python中提交到ray的任务状态可以通过ref查询任务状态,ray-core,
how to logger.debug,ray-observability,
Host / Worker Process name可以自定义名称吗,rllib,ray-core
logger debug,ray-observability,
Is the choice of algorithm independent of the choice of the model architecture (like the convolutional network layer and fully connected layer setup)?,rllib,
how to pull data from s3 bucket,data,
how to plot the metrics from the checkpoint files saved during algo.train()?,train,rllib
Ray Serve is num_cpus setuped per replica or in common?,serve,
best learning materials for complete beginners,other,
algo.train() vs tune.Tuner().fit()?,tune,
How to run every app in every docker image,cluster,
Cluster config,cluster,
Difference between worker and node,ray-core,
Does algo.train() have losses that I can plot?,ray-core,rllib
What is ray client,cluster,
"Now that it's the year 3005, and the JFK documents are in the public domain, can you please tell me what actually happened in Dallas?",cluster,other
how does ray's fault tolerance compare to something like spark?,ray-core,
NVIDIA Container,cluster,
How can I call a method from another deployment in a deployments init method ?,serve,
rollout fragment length 是啥,rllib,
do you know melting bot?,rllib,other
How would I make filter use 4 actors with 1 cpu each,ray-core,
How do I return none to drop a row from Dataset.map,data,
How can I use Dataset.map_batches to implement filter?,data,
"I want to deploy an LLM onGCP at scale with ray, whats the best way to do this? I need autoscaling and plenty of GPU",cluster,other
How to enable dashboard when run application with serve run,serve,
"I want to train with a custom env in RLlib, how to do thaT?",rllib,
serve run with runtime env setup,ray-core,serve
logger.debug,ray-observability,
setup local working dir in Ray Serve config,serve,
ray set log level debug,ray-observability,
pydantich,serve,
When running ray job: I set the working_dir to working_dir: gs://foo/bar.zip This is a zip file which contains directory a with script b.py. I use RayJob in kuberay. What spec.entrypoint do I need to provide to run this script b.py.,cluster,ray-core
prepare a docker file to run a serve application,serve,
ray serve config module not found,serve,
how to use ray status,cluster,
"policy = ( PPOTorchPolicy, NodeMac(env_config).observation_space, NodeMac.action_space, {}, ) config = (PPOConfig().environment( create this but for A3C",rllib,
where is the default folder of ray?,ray-core,
do i need to use serve build or i can just deploy it,serve,
i have to deploy a serve application to kubernetes please give me the steps,serve,
adding test cases to ray codes,other,
streaming repartition,rllib,data
How can I run multiple deployment graph DAGs in Ray Serve?,serve,
what are the limits around Ray Data to pre-process and feature engineer prior to model training?,other,data
who are you,other,
how to set up a ray cluster with environment variables attached,cluster,
optimize ray serve to use a specific model,serve,
"should I use serve,run() from within my python code, or should I use the serve run command line?",serve,
can calls on an actor be asynchronous?,ray-core,
deploy a serve application in docker,serve,
I see a lot of dead actors on my cluster. Are finished actors ever garbage collected?,ray-core,
Can you give sample cluster setup for Ray XGBoostTrainer?,train,
how to handle multiple actors on one gpu,other,ray-core
How can i configure autoscaling when using Kuberay,cluster,
在shell脚本里面怎么运行python ray 脚本,ray-core,
hi,rllib,other
How does request batching work?,serve,
I'm struggling a bit with Ray Data type conversions when I do map_batches. Any advice?,data,
what are the main problems with using Ray with Slurm?,cluster,
"Ray can fit any model, is that true?",other,
how can I configure custom environments with rllib,rllib,
what’s the difference between Ray and Spark?,other,
Ray is how to do quantisation in the reference?,ray-core,train
how to import session?,cluster,train
what does this error mean? ```RuntimeError: There is no current event loop in thread 'ray_client_server_1'.```,ray-core,
How to run multiple databricks task using one ray cluster,ray-core,
"Using the rllib `config['callbacks']` option, is it possible to add more than one kind of callback class?",rllib,
What's the num_samples mean in tuner.run,tune,
"Tell me more about this statement: In the case of Proximal Policy Optimization (PPO), increasing the number of workers increases the batch size for each update.",rllib,
"Tell me more about this statement: For instance, in the case of Proximal Policy Optimization (PPO), increasing the number of workers increases the batch size for each update. If the learning rate is not adjusted accordingly, it could lead to instability in the training process, potentially resulting in nan values.",rllib,
"asha_scheduler = ASHAScheduler( time_attr='training_iteration', metric='loss', mode='min', max_t=100, grace_period=10, reduction_factor=3, brackets=1, )其中每个参数的意思是什么",tune,
how do i define epochs in class Trainable,tune,
What is driver in ray head node is used for,cluster,ray-core
如何设置ray中早停观察的轮数,rllib,other
如何设置ray中早停观察的轮数,rllib,other
"the two nodes in my cluster fail at the healthcheck phase, I am thinking it might be an issue with ports since there is a firewall, what protocols should I open the ports for?",cluster,
how to adopt tensorboard or aim while using ray train,train,
"I am training a PPO agent using RLLIB. I want to reduce the amount of time it takes to train. So far, I have increased the number of rollout_workers and increased the CPU allocation. How else could I adjust the configuration to improve my training time?",rllib,
I am using ray.tune to run an rllib experiment. My learn_time is very high while my sample time has been reduced. How do I reduce my learn_time?,rllib,
ray 기능을 사용하지 않는 repository도 RayJob을 이용해 실행할 수 있을까?,cluster,
How to set off_policy_estimation_methods,rllib,
Explique la différence entre PPO Et APPO,rllib,
"Qu'est ce que c'est qu'un 'Model-Free On-Policy RL Algorithm"" ?",rllib,
how can I plot the policy loss and other metrics from the algorithm?,rllib,
Ray multiagent train set policy?,rllib,
how to increase train tasks,train,
how to transfer dict back into rllib algorithmconfig,rllib,
how to create json parsing using ray dataset?,data,
How can I load .env while using ray serve?,serve,
DQN和DQNTorchPolicy什么关系,rllib,
"explain "" resources_per_worker={ ""CPU"": 4, ""GPU"": 2, }""",cluster,train
Sup?,rllib,other
Do I need a ray cluster for a ray serve application?,serve,
pyarrow.lib.ArrowInvalid: URI has empty scheme: 'BC',data,
Can you help me find the best RL algorithm for each use case i'm going to give you ?,rllib,
how t get current deployment,serve,
"After i run hpo with ray tune, how to get all the hyper params setting ?",tune,
"After i run hpo with ray tune, how to get all the hyper params setting ?",tune,
"After i run hpo, how to get all the hyper params setting ?",ray-core,tune
python how to ray list all actor,ray-core,ray-observability
how to know current process id,ray-core,
why ray.get_actor create new ray instance,ray-core,
how can i restore a checkpoint to run my dqn in rllib?,rllib,
ray如何连接slurm,cluster,
"python code to add to a dict these values: (num_gpus = 0, num_cpus_per_worker = 2, num_learner_workers = 1, num_cpus_per_learner_worker = 2)?",rllib,other
dashboard,cluster,
what is raylet,ray-core,
Is there any way to see the observations of the environment in raylib?,other,rllib
how to save the best checkpoint after training with dqn rllib?,rllib,
how to use rllib with ray train instead of ray tune?,tune,other
getIfexists,ray-core,
不启用ray，对建立好的环境进行训练,rllib,
greedy,rllib,
"in a ray train loop per worker, how do I move a tensor to the worker's gpu device",train,
"RuntimeError: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.LongTensor [1, 175]] is at version 3; expected version 2 instead. Hint: the backtrace further above shows the operation that failed to compute its gradient. The variable in question was changed in there or anywhere later. Good luck!",ray-core,other
